iteration,multi_logloss
1,1.1179212185527614
2,0.8804471365427317
3,0.7171455030292154
4,0.5973704564367861
5,0.5059420919668703
6,0.4347774214593342
7,0.3765888800960955
8,0.3307065104798766
9,0.29252139533671606
10,0.2612018447959708
11,0.2358062606144565
12,0.21449628187713632
13,0.1967528333360116
14,0.1805506836018263
15,0.1669045952277603
16,0.1556411032598278
17,0.14529643119145239
18,0.13616748009408602
19,0.1282429048428689
20,0.12154947118402427
21,0.11504329244554719
22,0.10914162703845333
23,0.10428087187593683
24,0.09988460094377305
25,0.09554230747482437
26,0.09177224576462932
27,0.08798666969977724
28,0.08480243242482083
29,0.08162315734463298
30,0.07841878249103779
31,0.07598819757591552
32,0.07348736392353378
33,0.07120486306959303
34,0.0692863920361581
35,0.06737189322238926
36,0.06556517446855914
37,0.0642761708731575
38,0.06289995300792814
39,0.061324587730349746
40,0.0601662882718975
41,0.058854252066526065
42,0.057544097573706356
43,0.05634405147316776
44,0.055312170113497205
45,0.05424052281802868
46,0.053287008002319745
47,0.05225229660870181
48,0.051353040987627864
49,0.050671509334316314
50,0.04997414772129584
51,0.04928264181583209
52,0.04857166544642165
53,0.047838835271308854
54,0.04721317945447176
55,0.046613255026405835
56,0.045974701556893524
57,0.04555573062713705
58,0.04495729614636781
59,0.04447300819151422
60,0.04390646137684391
61,0.043387671908959057
62,0.0430523126968519
63,0.042551129278466084
64,0.04220595481016558
65,0.041777317373709426
66,0.04136571966991682
67,0.04108837506518292
68,0.040783573096498674
69,0.04055336132465652
70,0.040064137368852434
71,0.03972866026398915
72,0.03937956903786701
73,0.0390562644786628
74,0.038659416938418234
75,0.0381474790552241
76,0.037668169524865576
77,0.037462905159378834
78,0.03712658715601167
79,0.036880330560921104
80,0.03661172872913996
81,0.03627462402336106
82,0.03596659369339079
83,0.0357250724899035
84,0.035483620639257044
85,0.035298965312875484
86,0.03523255792676344
87,0.03499014063117035
88,0.03492888388185903
89,0.034660827127024514
90,0.03444091456543538
91,0.034327861677382505
92,0.03408861068500225
93,0.0338991451696882
94,0.03381009638795508
95,0.03363580046823158
96,0.03339378014434884
97,0.03335271874205561
98,0.03322663414726465
99,0.03319776285201681
100,0.03309856586012268
101,0.03294432302235756
102,0.03279439928558759
103,0.03266408295014527
104,0.03253087702151342
105,0.03249799479843288
106,0.032359014832443043
107,0.032160775621549904
108,0.032041245161354925
109,0.031828735374983604
110,0.03165263686775499
111,0.03152154503074728
112,0.03136821599149819
113,0.03120667861342553
114,0.031087496417125698
115,0.03105855482220092
116,0.030967654106660206
117,0.030775767190358436
118,0.030784376665860088
119,0.03073604947968575
120,0.030599544197135214
121,0.03046250346151797
122,0.0303556438304141
123,0.03025735017404716
124,0.03019074398254118
125,0.030167008702600622
126,0.030099276411791453
127,0.030059032744461475
128,0.030041558297691
129,0.02991388673519515
130,0.02995312099105332
131,0.029912643237449014
132,0.029825598479995014
133,0.02971260644145605
134,0.029626443552401363
135,0.02952420674891862
136,0.02948589347353475
137,0.02949101087627548
138,0.029412015171564623
139,0.029175458198770224
140,0.029120888457071895
141,0.029147840621285195
142,0.029088254799724798
143,0.029085822701126196
144,0.028958104863525357
145,0.028959850140182868
146,0.0289914068942797
147,0.028958183043900375
148,0.028817310071206737
149,0.028867367898501424
150,0.028895832372101825
151,0.028868344848409243
152,0.02877591969227448
153,0.028673827309153983
154,0.028795326945852667
155,0.02873314933800839
156,0.028759520406398238
157,0.028782624858408098
158,0.0288217458334265
159,0.028731302704654668
160,0.028784134852117473
161,0.028889513940180616
162,0.028833947764676213
163,0.02873467628099227
164,0.028724292578545276
165,0.028731472870459074
166,0.028767175498552053
167,0.02879550350095324
168,0.028705614027386302
169,0.028612475598910905
170,0.028576714188730843
171,0.02863669493506101
172,0.028667681204869656
173,0.02860058802644502
174,0.028653623552194227
175,0.028669446626130857
176,0.028630648974982274
177,0.028567317507361786
178,0.028601460793869913
179,0.028596298923956587
180,0.028434646735071886
181,0.02843602935121204
182,0.02833604645235455
183,0.02834323151500934
184,0.02824384069578782
185,0.028175248989269538
186,0.028242348626621474
187,0.028237636433125914
188,0.028214099790807114
189,0.02824150843660459
190,0.028293322355770933
191,0.028255784887969065
192,0.02826743608178351
193,0.028255070156608147
194,0.02825925074373119
195,0.028261873508901022
196,0.028263351216244487
197,0.028230460294008757
198,0.028324548584011906
199,0.028383472344165286
200,0.02837723627916639
201,0.028309584835640167
202,0.028317540607753548
203,0.028255216449272917
204,0.02820442542347609
205,0.028163459838453832
206,0.028164968801648153
207,0.028159444307312466
208,0.028105480188501047
209,0.02812158073269247
210,0.028110337747176643
211,0.02822241420235476
212,0.02826195528646779
213,0.028338005609681957
214,0.02833822094225129
215,0.02825553355587779
216,0.028342086833607186
217,0.02826537609459923
218,0.028276216049387792
219,0.028326533281891258
220,0.028396009485167586
221,0.028428097302825965
222,0.02844854047071751
223,0.028403479486870255
224,0.028452188644744275
225,0.02842981378459229
226,0.028495458734774656
227,0.028546882806183137
228,0.028532680188255787
229,0.028560617472796382
230,0.02856702222155824
231,0.028535124264921854
232,0.028474716401664792
233,0.028478917363386192
234,0.028346329627969225
235,0.028197650699405313
236,0.02824758300521199
237,0.02833166080998432
238,0.028276650600024298
239,0.028257320760210234
240,0.028237512737003326
